"x","y","Coastal_Aerosol","Blue","Green","Red","Near_Infrared","Shortwave_Infrared_1","Shortwave_Infrared_2","image_year","agriculture","Cropland_and_Pasture","Orchards_Groves_Vineyards","Confined_Feeding","Other_Ag_Land","Herbaceous_Rangeland","Shrub_Brush_Rangeland","Mixed_Rangeland","ndvi","ndwi","evi","sr","ag_type"
-157.736303632652,21.300178280579,0.793699979782104,0.817166686058044,0.940999984741211,0.88685554265976,1.78548884391785,1.28288888931274,1.00104439258575,2017,"Yes",0,0,0,0,0,1,0,0.336271517163603,-0.309734941988365,1.13585879414529,2.01328035743342,"Shrub_Range"
-158.086646593459,21.5359860426604,0.977199971675873,0.9964200258255,1.1096066236496,1.10205328464508,1.92337334156036,1.47632002830505,1.16117334365845,2014,"Yes",1,0,0,0,0,0,0,0.271472475915041,-0.268305998471845,0.995518777500468,1.74526347170209,"Cropland_Pasture"
-157.729566268021,21.3114072216305,0.777999997138977,0.795933306217194,0.939599990844727,0.843733310699463,2.46033334732056,1.27369999885559,0.939999997615814,2015,"Yes",0,0,0,0,0,1,0,0.489275854255874,-0.447283286235391,1.58289487674178,2.91600831224848,"Shrub_Range"
-157.738549420862,21.3406024683644,0.825349986553192,0.86615002155304,1.03164994716644,0.99084997177124,2.37700009346008,1.56404995918274,1.16484999656677,2019,"Yes",0,0,0,1,0,0,0,0.411583085600823,-0.39468708440552,1.22625840480981,2.39895055879243,"Other_Agricultural"
-158.17647812187,21.4641208199308,1.0665374994278,1.10671246051788,1.21566247940063,1.25721251964569,1.87997496128082,1.66487503051758,1.33417499065399,2020,"Yes",0,0,0,0,0,0,1,0.198509794336935,-0.214596345537788,0.733384165631486,1.49535176583402,"Mixed_Range"
-158.219148097866,21.5022992195059,0.803312480449677,0.814737498760223,0.881762504577637,0.866249978542328,1.44868755340576,1.22578752040863,0.998737514019012,2022,"Yes",0,0,0,0,0,0,1,0.251599694084744,-0.243268482362887,0.948190065178255,1.67236662544399,"Mixed_Range"
-158.138299722295,21.4843329138235,0.790220022201538,0.79830002784729,0.89384001493454,0.831179976463318,2.25855994224548,1.25688004493713,0.94488000869751,2019,"Yes",0,0,0,0,0,1,0,0.46197414777185,-0.432914587567673,1.58008606080472,2.71729349382992,"Shrub_Range"
-157.974357182944,21.6774706999092,0.893827259540558,0.927536368370056,1.07270908355713,1.042231798172,2.06232738494873,1.50358641147614,1.15426814556122,2016,"Yes",1,0,0,0,0,0,0,0.328579848734377,-0.315664047717839,1.08097826692487,1.97876075990572,"Cropland_Pasture"
-158.070926075986,21.5966223243384,0.869616687297821,0.893863320350647,1.00705671310425,1.03041660785675,1.68096327781677,1.4623099565506,1.17533338069916,2017,"Yes",1,0,0,0,0,0,0,0.239931952507799,-0.250707422931633,0.753126045657438,1.63134334695279,"Cropland_Pasture"
-158.008044006098,21.4304339967763,0.842580020427704,0.859045028686523,0.939450025558472,0.95353502035141,1.60281503200531,1.33077001571655,1.08754503726959,2015,"Yes",0,0,0,0,0,0,1,0.253987129444703,-0.260934635620777,0.862859274686599,1.68091889421599,"Mixed_Range"
-158.057451346725,21.6258175710723,0.822990477085114,0.846971452236176,0.962085723876953,0.946961879730225,1.79930472373962,1.40870952606201,1.11771905422211,2020,"Yes",1,0,0,0,0,0,0,0.310364202416648,-0.303187475927315,1.0009709739179,1.90008147345088,"Cropland_Pasture"
-157.999060853257,21.6752249116989,0.774369239807129,0.796661555767059,0.89386922121048,0.854576945304871,1.79156148433685,1.15664613246918,0.935192286968231,2018,"Yes",0,0,0,0,0,0,1,0.354095057362076,-0.334282415581231,1.20493171751192,2.09643086462824,"Mixed_Range"
-158.055205558514,21.4192050557248,0.890642881393433,0.913592875003815,1.0054714679718,1.07353568077087,1.48028576374054,1.34601426124573,1.16595709323883,2019,"Yes",1,0,0,0,0,0,0,0.159271151804228,-0.191013945252272,0.491350096846065,1.37888827568134,"Cropland_Pasture"
